,K/9,BB/9,LOB%,ERA,FIP,pWAR,OBP,SLG,wOBA,Off,WAR,W
2022LAD,9.084750201,2.523886233,0.78296703,2.796738799,3.451429644,25.16644023,0.333386735,0.441730003,0.3365604835,147.8165257,37.48350919,111
2018BOS,9.612888924,3.159049505,0.7578871,3.751371287,3.818566889,18.52552111,0.338840349,0.453494575,0.3395622403,79.31153065,32.6151702,108
2019HOU,10.28424951,2.757237451,0.76822157,3.66195599,3.976489574,24.19838758,0.352452593,0.495456974,0.3546718255,194.2253226,43.24851913,107
2021SFG,8.814433706,2.573196086,0.74855415,3.247422944,3.548041026,21.97512737,0.329002923,0.440131819,0.3294959892,55.51143428,32.98273739,107
2019LAD,9.456537329,2.44039673,0.74714286,3.392898515,3.726575796,25.38222386,0.337616447,0.472055343,0.3383970851,89.85153828,34.71562046,106
2021LAD,9.911158178,3.012397045,0.76541311,3.030992088,3.543312403,27.54686884,0.329788947,0.429017447,0.3267943586,43.99456209,29.01290879,106
2022HOU,9.489853014,2.851937454,0.77235772,2.895526018,3.284017729,26.73111711,0.319423745,0.423923091,0.3239584057,83.03314662,30.34170585,106
2017LAD,9.649978074,2.7535767,0.77771649,3.382787666,3.669868643,21.71735135,0.334469881,0.436760355,0.3296333157,33.75614271,29.68924296,104
2023ATL,9.475000753,3.337500265,0.73015684,4.137500329,4.096012649,16.16626085,0.343955164,0.500804002,0.3593280625,205.1126054,40.90353825,104
2009NYY,7.820690748,3.562759119,0.71894689,4.276552322,4.316394275,19.25413932,0.36175187,0.477561837,0.3646861971,137.5410715,34.1406877,103
2016CHC,8.884905757,3.052066863,0.77467693,3.150719529,3.770675515,18.83689237,0.343452002,0.428675268,0.3333256972,47.4801257,34.78978051,103
2018HOU,10.43505212,2.690721797,0.77881834,3.111340377,3.232596528,28.6326565,0.329196603,0.425270493,0.3265826867,72.4501052,32.69995754,103
2019NYY,9.567568331,3.162162415,0.75167955,4.309771654,4.467647829,17.9144345,0.338626884,0.489879992,0.3463919198,131.2231309,30.78268255,103
2011PHI,7.915369288,2.461746876,0.77479726,3.0223427,3.238656436,29.45033098,0.322601416,0.394694389,0.3151705396,-29.52666923,18.80129372,102
2017CLE,10.08283287,2.53632599,0.77460062,3.304720316,3.327005743,30.35328608,0.338647342,0.449283251,0.3359310617,46.42838736,28.25936201,102
2017HOU,9.91493847,3.248962889,0.7366235,4.120332246,3.908677092,19.01490222,0.345544712,0.477811441,0.3486017446,162.6476114,36.66101392,101
2019MIN,8.997950322,2.779954577,0.71817,4.182232549,4.025171246,23.65749349,0.337513716,0.494068387,0.3468773208,123.4983803,31.90674105,101
2022ATL,9.658840473,3.10773503,0.74550291,3.455801353,3.459116109,22.20618812,0.317382009,0.443456162,0.3301785854,84.22084342,29.34297671,101
2022NYM,9.790316039,2.677479402,0.75956782,3.584569387,3.504460696,21.53151384,0.332087733,0.411914738,0.3257423829,88.41338739,31.16545721,101
2023BAL,8.859666242,2.928457116,0.73480459,3.906673234,3.975288093,18.19279606,0.320708312,0.420928116,0.3204568039,55.91610165,23.94944983,101
2015STL,8.1663639,2.931042574,0.79353933,2.937187317,3.479747625,20.5600961,0.321088881,0.394420131,0.3109735749,-21.24696915,23.58267567,100
2018NYY,10.09796354,3.052872699,0.73922734,3.775921496,3.633537579,24.4628734,0.329180642,0.45149592,0.3352551337,90.17724331,28.61535578,100
2021TBR,9.138081768,2.695672294,0.73727795,3.672544364,3.794490319,18.93726914,0.321192586,0.428908661,0.3224181343,77.03114591,30.25744262,100
2023LAD,8.63701364,2.825075067,0.72632266,4.057156263,4.226462403,16.93710207,0.34024043,0.454742939,0.3411892222,125.9708174,32.289517,100
2022NYY,9.045465831,2.752698306,0.76319738,3.304477922,3.560192238,20.82993129,0.324719648,0.426226484,0.3271561706,90.78864795,34.21318134,99
2023TBR,9.405687163,2.739944701,0.72411057,3.869625774,3.804971047,21.3394336,0.331438778,0.444928325,0.3352107969,132.9497796,31.81876328,99
2012WSN,8.12145337,3.046311188,0.75087381,3.340522329,3.543260294,19.46112469,0.322152001,0.42760463,0.3240498124,4.662518731,23.703122,98
2014LAA,8.146133541,3.059352686,0.73279925,3.581385089,3.574023776,14.52101597,0.322147651,0.406050955,0.3206994013,67.26431733,30.81974693,98
2015PIT,8.083687999,2.736854009,0.74971687,3.226225255,3.360490158,19.46568202,0.323368691,0.395666844,0.3127322911,-17.45199296,24.01737318,98
2024LAD,8.653447629,3.118976448,0.73656399,3.91584069,4.177986829,14.56954747,0.334829299,0.446396233,0.3370741122,147.993348,33.7121907,98
2009LAA,6.614533575,3.257439793,0.72366992,4.453287671,4.452793246,13.71968293,0.350047908,0.4414799,0.34576218,75.46574804,29.03369042,97
2010PHI,7.310827013,2.570840268,0.75314063,3.683223077,3.927235966,16.64813269,0.331999359,0.41336678,0.3265791036,5.500965991,22.7902166,97
2011NYY,7.541486211,3.128914492,0.74977467,3.733714532,3.86675777,17.34687262,0.34338118,0.444182674,0.3445647983,101.5674745,36.9332041,97
2012CIN,7.73021386,2.644872851,0.76856649,3.344804074,3.723495495,18.70767207,0.315292949,0.410626255,0.3138489339,-35.97736996,23.36103833,97
2013BOS,8.00962922,3.243466547,0.74537414,3.794360674,3.840839305,15.75888074,0.349228832,0.446115731,0.3465538592,116.7481103,35.7042392,97
2013STL,7.731902983,2.780772125,0.74527317,3.42818027,3.385602752,17.3113506,0.331760494,0.401475616,0.322204552,20.99374322,25.49316067,97
2015CHC,8.813185115,2.506615194,0.72726093,3.36268279,3.297143035,22.92551477,0.321388033,0.398105991,0.3133253602,-15.76605812,25.40794573,97
2017WSN,9.064286215,3.079493258,0.74383803,3.882027864,3.992662782,22.98294879,0.332198995,0.449306681,0.3307811953,0.7632833585,23.18171154,97
