GAME DATE,Away Team,Home Team,LOCATION
3/18/2025,Dodgers,Cubs,Neutral Site
3/19/2025,Dodgers,Cubs,Neutral Site
3/27/2025,Braves,Padres,Petco Park - San Diego
3/27/2025,Red Sox,Rangers,Globe Life Field - Arlington
3/27/2025,Cubs,D-backs,Chase Field - Phoenix
3/27/2025,Phillies,Nationals,Nationals Park - Washington
3/27/2025,Orioles,Blue Jays,Rogers Centre - Toronto
3/27/2025,Rockies,Rays,Tropicana Field - St. Petersburg
3/27/2025,Twins,Cardinals,Busch Stadium - St. Louis
3/27/2025,Pirates,Marlins,loanDepot park - Miami
3/27/2025,Athletics,Mariners,T-Mobile Park - Seattle
3/27/2025,Brewers,Yankees,Yankee Stadium - Bronx
3/27/2025,Mets,Astros,Minute Maid Park - Houston
3/27/2025,Angels,White Sox,Guaranteed Rate Field - Chicago
3/27/2025,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/27/2025,Guardians,Royals,Kauffman Stadium - Kansas City
3/27/2025,Giants,Reds,Great American Ball Park - Cincinnati
3/28/2025,Braves,Padres,Petco Park - San Diego
3/28/2025,Red Sox,Rangers,Globe Life Field - Arlington
3/28/2025,Cubs,D-backs,Chase Field - Phoenix
3/28/2025,Orioles,Blue Jays,Rogers Centre - Toronto
3/28/2025,Pirates,Marlins,loanDepot park - Miami
3/28/2025,Athletics,Mariners,T-Mobile Park - Seattle
3/28/2025,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/29/2025,Braves,Padres,Petco Park - San Diego
3/29/2025,Red Sox,Rangers,Globe Life Field - Arlington
3/29/2025,Cubs,D-backs,Chase Field - Phoenix
3/29/2025,Phillies,Nationals,Nationals Park - Washington
3/29/2025,Orioles,Blue Jays,Rogers Centre - Toronto
3/29/2025,Rockies,Rays,Tropicana Field - St. Petersburg
3/29/2025,Twins,Cardinals,Busch Stadium - St. Louis
3/29/2025,Pirates,Marlins,loanDepot park - Miami
3/29/2025,Athletics,Mariners,T-Mobile Park - Seattle
3/29/2025,Brewers,Yankees,Yankee Stadium - Bronx
3/29/2025,Mets,Astros,Minute Maid Park - Houston
3/29/2025,Angels,White Sox,Guaranteed Rate Field - Chicago
3/29/2025,Tigers,Dodgers,Dodger Stadium - Los Angeles
3/29/2025,Guardians,Royals,Kauffman Stadium - Kansas City
3/29/2025,Giants,Reds,Great American Ball Park - Cincinnati
3/30/2025,Braves,Padres,Petco Park - San Diego
3/30/2025,Red Sox,Rangers,Globe Life Field - Arlington
3/30/2025,Cubs,D-backs,Chase Field - Phoenix
3/30/2025,Phillies,Nationals,Nationals Park - Washington
3/30/2025,Orioles,Blue Jays,Rogers Centre - Toronto
3/30/2025,Rockies,Rays,Tropicana Field - St. Petersburg
3/30/2025,Twins,Cardinals,Busch Stadium - St. Louis
3/30/2025,Pirates,Marlins,loanDepot park - Miami
3/30/2025,Athletics,Mariners,T-Mobile Park - Seattle
3/30/2025,Brewers,Yankees,Yankee Stadium - Bronx
3/30/2025,Mets,Astros,Minute Maid Park - Houston
3/30/2025,Angels,White Sox,Guaranteed Rate Field - Chicago
3/30/2025,Guardians,Royals,Kauffman Stadium - Kansas City
3/30/2025,Giants,Reds,Great American Ball Park - Cincinnati
3/31/2025,Braves,Dodgers,Dodger Stadium - Los Angeles
3/31/2025,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
3/31/2025,Cubs,Athletics,Sutter Health Park - Sacramento
3/31/2025,Nationals,Blue Jays,Rogers Centre - Toronto
3/31/2025,Pirates,Rays,Tropicana Field - St. Petersburg
3/31/2025,Angels,Cardinals,Busch Stadium - St. Louis
3/31/2025,Rockies,Phillies,Citizens Bank Park - Philadelphia
3/31/2025,Guardians,Padres,Petco Park - San Diego
3/31/2025,Tigers,Mariners,T-Mobile Park - Seattle
3/31/2025,Mets,Marlins,loanDepot park - Miami
3/31/2025,Twins,White Sox,Guaranteed Rate Field - Chicago
3/31/2025,Royals,Brewers,American Family Field - Milwaukee
3/31/2025,Rangers,Reds,Great American Ball Park - Cincinnati
3/31/2025,Giants,Astros,Minute Maid Park - Houston
4/1/2025,Braves,Dodgers,Dodger Stadium - Los Angeles
4/1/2025,Cubs,Athletics,Sutter Health Park - Sacramento
4/1/2025,Nationals,Blue Jays,Rogers Centre - Toronto
4/1/2025,Pirates,Rays,Tropicana Field - St. Petersburg
4/1/2025,Angels,Cardinals,Busch Stadium - St. Louis
4/1/2025,Guardians,Padres,Petco Park - San Diego
4/1/2025,Tigers,Mariners,T-Mobile Park - Seattle
4/1/2025,D-backs,Yankees,Yankee Stadium - Bronx
4/1/2025,Mets,Marlins,loanDepot park - Miami
4/1/2025,Twins,White Sox,Guaranteed Rate Field - Chicago
4/1/2025,Royals,Brewers,American Family Field - Milwaukee
4/1/2025,Rangers,Reds,Great American Ball Park - Cincinnati
4/1/2025,Giants,Astros,Minute Maid Park - Houston
4/2/2025,Braves,Dodgers,Dodger Stadium - Los Angeles
4/2/2025,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
4/2/2025,Cubs,Athletics,Sutter Health Park - Sacramento
4/2/2025,Nationals,Blue Jays,Rogers Centre - Toronto
4/2/2025,Pirates,Rays,Tropicana Field - St. Petersburg
4/2/2025,Angels,Cardinals,Busch Stadium - St. Louis
4/2/2025,Rockies,Phillies,Citizens Bank Park - Philadelphia
4/2/2025,Guardians,Padres,Petco Park - San Diego
4/2/2025,Tigers,Mariners,T-Mobile Park - Seattle
4/2/2025,D-backs,Yankees,Yankee Stadium - Bronx
4/2/2025,Mets,Marlins,loanDepot park - Miami
4/2/2025,Twins,White Sox,Guaranteed Rate Field - Chicago
4/2/2025,Royals,Brewers,American Family Field - Milwaukee
4/2/2025,Rangers,Reds,Great American Ball Park - Cincinnati
4/2/2025,Giants,Astros,Minute Maid Park - Houston
4/3/2025,Red Sox,Orioles,Oriole Park at Camden Yards - Baltimore
4/3/2025,Rockies,Phillies,Citizens Bank Park - Philadelphia
4/3/2025,D-backs,Yankees,Yankee Stadium - Bronx
4/3/2025,Astros,Twins,Target Field - Minneapolis
4/3/2025,Reds,Brewers,American Family Field - Milwaukee
4/4/2025,Marlins,Braves,Truist Park - Atlanta
4/4/2025,Cardinals,Red Sox,Fenway Park - Boston
4/4/2025,Padres,Cubs,Wrigley Field - Chicago
4/4/2025,D-backs,Nationals,Nationals Park - Washington
4/4/2025,Blue Jays,Mets,Citi Field - Flushing
4/4/2025,Rays,Rangers,Globe Life Field - Arlington
4/4/2025,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/4/2025,Yankees,Pirates,PNC Park - Pittsburgh
4/4/2025,Mariners,Giants,Oracle Park - San Francisco
4/4/2025,Athletics,Rockies,Coors Field - Denver
4/4/2025,Reds,Brewers,American Family Field - Milwaukee
4/4/2025,Guardians,Angels,Angel Stadium - Anaheim
4/4/2025,White Sox,Tigers,Comerica Park - Detroit
4/4/2025,Orioles,Royals,Kauffman Stadium - Kansas City
4/5/2025,Marlins,Braves,Truist Park - Atlanta
4/5/2025,Cardinals,Red Sox,Fenway Park - Boston
4/5/2025,Padres,Cubs,Wrigley Field - Chicago
4/5/2025,D-backs,Nationals,Nationals Park - Washington
4/5/2025,Blue Jays,Mets,Citi Field - Flushing
4/5/2025,Rays,Rangers,Globe Life Field - Arlington
4/5/2025,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/5/2025,Yankees,Pirates,PNC Park - Pittsburgh
4/5/2025,Mariners,Giants,Oracle Park - San Francisco
4/5/2025,Athletics,Rockies,Coors Field - Denver
4/5/2025,Astros,Twins,Target Field - Minneapolis
4/5/2025,Reds,Brewers,American Family Field - Milwaukee
4/5/2025,Guardians,Angels,Angel Stadium - Anaheim
4/5/2025,White Sox,Tigers,Comerica Park - Detroit
4/5/2025,Orioles,Royals,Kauffman Stadium - Kansas City
4/6/2025,Marlins,Braves,Truist Park - Atlanta
4/6/2025,Cardinals,Red Sox,Fenway Park - Boston
4/6/2025,Padres,Cubs,Wrigley Field - Chicago
4/6/2025,D-backs,Nationals,Nationals Park - Washington
4/6/2025,Blue Jays,Mets,Citi Field - Flushing
4/6/2025,Rays,Rangers,Globe Life Field - Arlington
4/6/2025,Dodgers,Phillies,Citizens Bank Park - Philadelphia
4/6/2025,Yankees,Pirates,PNC Park - Pittsburgh
4/6/2025,Mariners,Giants,Oracle Park - San Francisco
4/6/2025,Athletics,Rockies,Coors Field - Denver
4/6/2025,Astros,Twins,Target Field - Minneapolis
4/6/2025,Reds,Brewers,American Family Field - Milwaukee
4/6/2025,Guardians,Angels,Angel Stadium - Anaheim
4/6/2025,White Sox,Tigers,Comerica Park - Detroit
4/6/2025,Orioles,Royals,Kauffman Stadium - Kansas City
